광역자치단체명,선거구,선거구 설명,기호,정당명,후보자명(한글),후보자명(한자),득표수,득표율,순위,당선여부,중도탈락여부,전체유권자수,전체투표수,전체무효표수
경기도,용인시 정,"기흥구 동백1동, 동백2동, 구성동, 마북동, 보정동 + 수지구 죽전1동, 상현2동",7,민중당,김배곤,金培坤,470,0.31,4.0,False,False,206940,150335,1088
경기도,용인시 정,"기흥구 동백1동, 동백2동, 구성동, 마북동, 보정동 + 수지구 죽전1동, 상현2동",8,친박신당,김근기,金槿基,268,0.17,6.0,False,False,206940,150335,1088
경기도,용인시 정,"기흥구 동백1동, 동백2동, 구성동, 마북동, 보정동 + 수지구 죽전1동, 상현2동",9,국가혁명배당금당,박성원,朴聖願,467,0.31,5.0,False,False,206940,150335,1088
경기도,파주시 갑,"운정1동, 운정2동, 운정3동, 교하동, 조리읍, 광탄면, 탄현면",1,더불어민주당,윤후덕,尹厚德,85058,60.93,1.0,True,False,219983,141143,1546
경기도,파주시 갑,"운정1동, 운정2동, 운정3동, 교하동, 조리읍, 광탄면, 탄현면",2,미래통합당,신보라,申普羅,52122,37.33,2.0,False,False,219983,141143,1546
경기도,파주시 갑,"운정1동, 운정2동, 운정3동, 교하동, 조리읍, 광탄면, 탄현면",7,국가혁명배당금당,박수연,朴秀涓,1145,0.82,4.0,False,False,219983,141143,1546
경기도,파주시 갑,"운정1동, 운정2동, 운정3동, 교하동, 조리읍, 광탄면, 탄현면",8,기독자유통일당,김정섭,金廷燮,1272,0.91,3.0,False,False,219983,141143,1546
경기도,파주시 을,"금촌1동, 금촌2동, 금촌3동, 문산읍, 법원읍, 파주읍, 월롱면, 적성면, 파평면, 장단출장소 [25]",1,더불어민주당,박정,朴釘,48569,54.33,1.0,True,False,151068,90578,1197
경기도,파주시 을,"금촌1동, 금촌2동, 금촌3동, 문산읍, 법원읍, 파주읍, 월롱면, 적성면, 파평면, 장단출장소 [25]",2,미래통합당,박용호,朴龍鎬,39588,44.29,2.0,False,False,151068,90578,1197
경기도,파주시 을,"금촌1동, 금촌2동, 금촌3동, 문산읍, 법원읍, 파주읍, 월롱면, 적성면, 파평면, 장단출장소 [25]",7,국가혁명배당금당,변지해,邊志晐,1224,1.36,3.0,False,False,151068,90578,1197
경기도,이천시,이천시 일원 [26],1,더불어민주당,김용진,金容振,49682,45.68,2.0,False,False,179016,110100,1351
경기도,이천시,이천시 일원 [26],2,미래통합당,송석준,宋錫俊,56544,51.99,1.0,True,False,179016,110100,1351
경기도,이천시,이천시 일원 [26],7,국가혁명배당금당,천종만,千鍾萬,846,0.77,4.0,False,False,179016,110100,1351
경기도,이천시,이천시 일원 [26],8,무소속,홍준의,洪俊義,1677,1.54,3.0,False,False,179016,110100,1351
경기도,안성시,안성시 일원 [27],1,더불어민주당,이규민,李圭閔,49721,51.44,1.0,True,False,155021,98475,1828
경기도,안성시,안성시 일원 [27],2,미래통합당,김학용,金學容,45554,47.13,2.0,False,False,155021,98475,1828
경기도,안성시,안성시 일원 [27],7,국가혁명배당금당,송민정,宋旼貞,1372,1.41,3.0,False,False,155021,98475,1828
경기도,김포시 갑,"김포본동, 사우동, 장기동, 풍무동, 고촌읍",1,더불어민주당,김주영,金周暎,58613,52.88,1.0,True,False,165807,111816,987
경기도,김포시 갑,"김포본동, 사우동, 장기동, 풍무동, 고촌읍",2,미래통합당,박진호,朴眞昊,42660,38.49,2.0,False,False,165807,111816,987
